company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Engine Type,1.5L U2 CRDi
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Displacement,1493 cc
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Max Power,114bhp@4000rpm
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Max Torque,250Nm@1500-2750rpm
HYUNDAI,CRETA,Creta EX (O) Diesel AT,No. of Cylinders,4
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Fuel Supply System,CRDi
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Turbo Charger,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Transmission Type,Automatic
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Gearbox,6-Speed AT
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Drive Type,FWD
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Fuel Type,Diesel
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Diesel Mileage ARAI,19.1 kmpl
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Diesel Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Steering Type,Electric
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Length,4330 mm
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Width,1790 mm
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Height,1635 mm
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Seating Capacity,5
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta EX (O) Diesel AT,No. of Doors,5
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Power Steering,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Air Conditioner,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Heater,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Ventilated Seats,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Automatic Climate Control,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Trunk Light,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear AC Vents,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Cruise Control,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Parking Sensors,Rear
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta EX (O) Diesel AT,KeyLess Entry,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Cooled Glovebox,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Voice Commands,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Paddle Shifters,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,USB Charger,Front & Rear
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Central Console Armrest,With Storage
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Hands-Free Tailgate,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Drive Modes,3
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Idle Start-Stop System,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Window Sunblind,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Automatic Headlamps,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Follow Me Home Headlamps,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Additional Features,Sunglass holder
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Voice assisted sunroof,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Drive Mode Types,ECO|NORMAL|SPORT
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Power Windows,Front & Rear
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Cup Holders,Front & Rear
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Tachometer,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Glove Box,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Digital Odometer,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Dual Tone Dashboard,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Digital Cluster,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Upholstery,Fabric
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Window Wiper,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Window Washer,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Window Defogger,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Wheel Covers,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Alloy Wheels,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Rear Spoiler,YES
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Outside Rear View Mirror Turn Indicators,NO
HYUNDAI,CRETA,Creta EX (O) Diesel AT,Integrated Antenna,YES
